host_index,hostname,seed,gpu,arm,endpoint_seconds_median,ready_arrays_to_consumer_seconds_median,correction_seconds_median,audit_seconds_median,release_verifier_seconds_median,logical_mask_seconds_median,compaction_seconds_median,synchronization_seconds_median,consumer_seconds_median,unclassified_overhead_seconds_median,gpu_energy_joules_median,peak_memory_allocated_bytes_median,peak_memory_reserved_bytes_median,physical_candidate_slots_median,logical_live_candidate_slots_median,frozen_but_computed_slots_median,audit_events_median,screen_pass_candidate_count_median,release_verifier_candidate_count_median,release_verified_candidate_count_median,compaction_events_median,logical_mask_applications_median
0,t-20260823121700-5rtng-worker-0,979986572,2,lm,3.9005650021135807,3.9005650021135807,1.715767364501953,0.6420253254473209,0.1047939732670784,0.0003060799986124039,0.0,3.7807971239089966e-05,1.8583560585975647,0.0,988.591,84738048.0,274726912.0,256.0,156.0,100.0,8.0,8.0,8.0,8.0,0.0,20.0
0,t-20260823121700-5rtng-worker-0,979986572,2,pc,3.183417234569788,3.183417234569788,1.0749353284835816,0.40177111327648163,0.10520640388131142,0.0,0.0035252159237861634,4.512816667556763e-05,1.85753670707345,0.0,795.524,112134144.0,270532608.0,156.0,156.0,0.0,8.0,8.0,8.0,8.0,5.0,0.0
0,t-20260823121700-5rtng-worker-0,979986572,3,official,45.37397116795182,45.37397116795182,,,,,,,1.8575302511453629,,12815.776,304039424.0,524288000.0,,,,,,,,,
0,t-20260823121700-5rtng-worker-0,979986572,3,w1,3.542789489030838,3.542789489030838,1.3861182079315186,0.514752484858036,0.10469956323504448,0.0,0.0,0.0002337321639060974,1.8626235537230968,0.0,823.822,62822912.0,268435456.0,156.0,156.0,0.0,39.0,8.0,8.0,8.0,0.0,0.0
0,t-20260823121700-5rtng-worker-0,979986572,3,fw,3.9032558910548687,3.9032558910548687,1.7170411224365234,0.643072783946991,0.10469040274620056,0.0,0.0,4.0065497159957886e-05,1.8603122308850288,0.0,992.742,84738048.0,272629760.0,256.0,256.0,0.0,8.0,33.0,8.0,8.0,0.0,0.0
0,t-20260823121700-5rtng-worker-0,979986572,3,lm,3.900745466351509,3.900745466351509,1.7123858489990234,0.6404505968093872,0.10519091039896011,0.0003098239991813898,0.0,4.2691826820373535e-05,1.8598479107022285,0.0,970.21,84738048.0,274726912.0,256.0,156.0,100.0,8.0,8.0,8.0,8.0,0.0,20.0
0,t-20260823121700-5rtng-worker-0,979986572,3,pc,3.188279911875725,3.188279911875725,1.076705629348755,0.40266887098550797,0.10531381890177727,0.0,0.0035596799850463865,5.0693750381469727e-05,1.8599782772362232,0.0,788.031,112134144.0,270532608.0,156.0,156.0,0.0,8.0,8.0,8.0,8.0,5.0,0.0
1,t-20260823121700-5rtng-worker-1,1884470933,0,official,44.98980036191642,44.98980036191642,,,,,,,1.8535842299461365,,11051.438,304039424.0,524288000.0,,,,,,,,,
1,t-20260823121700-5rtng-worker-1,1884470933,0,w1,3.525598680600524,3.525598680600524,1.3785651807785033,0.512119622901082,0.10420219041407108,0.0,0.0,0.00018990971148014069,1.8556041456758976,0.0,701.495,62822912.0,268435456.0,156.0,156.0,0.0,39.0,8.0,8.0,8.0,0.0,0.0
1,t-20260823121700-5rtng-worker-1,1884470933,0,fw,3.8840645905584097,3.8840645905584097,1.7052892112731934,0.6384754423052073,0.10405233316123486,0.0,0.0,3.764592111110687e-05,1.8551767598837614,0.0,867.29,84738048.0,272629760.0,256.0,256.0,0.0,8.0,33.0,8.0,8.0,0.0,0.0
1,t-20260823121700-5rtng-worker-1,1884470933,0,lm,3.8849534522742033,3.8849534522742033,1.705414436340332,0.6382953897118568,0.10430962964892387,0.0003045440036803484,0.0,3.5237520933151245e-05,1.8552205972373486,0.0,866.545,84738048.0,274726912.0,256.0,156.0,100.0,8.0,8.0,8.0,8.0,0.0,20.0
1,t-20260823121700-5rtng-worker-1,1884470933,0,pc,3.1725659258663654,3.1725659258663654,1.0701948251724243,0.40033672749996185,0.10418113879859447,0.0,0.003177568018436432,3.6267563700675964e-05,1.8547471221536398,0.0,679.195,112134144.0,270532608.0,156.0,156.0,0.0,8.0,8.0,8.0,8.0,5.0,0.0
1,t-20260823121700-5rtng-worker-1,1884470933,1,official,44.98459131643176,44.98459131643176,,,,,,,1.8543492071330547,,10872.887,304039424.0,524288000.0,,,,,,,,,
1,t-20260823121700-5rtng-worker-1,1884470933,1,w1,3.5239942632615566,3.5239942632615566,1.3778943967819213,0.5119760725647211,0.10419045016169548,0.0,0.0,0.0001872871071100235,1.8546116054058075,0.0,688.704,62822912.0,268435456.0,156.0,156.0,0.0,39.0,8.0,8.0,8.0,0.0,0.0
1,t-20260823121700-5rtng-worker-1,1884470933,1,fw,3.88354448415339,3.88354448415339,1.7045694618225098,0.6381559390574694,0.10402397625148296,0.0,0.0,3.1540170311927795e-05,1.8552862536162138,0.0,866.986,84738048.0,272629760.0,256.0,256.0,0.0,8.0,33.0,8.0,8.0,0.0,0.0
1,t-20260823121700-5rtng-worker-1,1884470933,1,lm,3.885312542319298,3.885312542319298,1.7045929031372071,0.6378585752099752,0.10432164371013641,0.00030428800266236067,0.0,3.423914313316345e-05,1.8562395740300417,0.0,867.668,84738048.0,274726912.0,256.0,156.0,100.0,8.0,8.0,8.0,8.0,0.0,20.0
1,t-20260823121700-5rtng-worker-1,1884470933,1,pc,3.1749983485788107,3.1749983485788107,1.070448218345642,0.40012953244149685,0.10443492233753204,0.0,0.003261088013648987,3.356672823429108e-05,1.8563895765691996,0.0,670.227,112134144.0,270532608.0,156.0,156.0,0.0,8.0,8.0,8.0,8.0,5.0,0.0
1,t-20260823121700-5rtng-worker-1,1884470933,2,official,44.98958970233798,44.98958970233798,,,,,,,1.855030357837677,,10417.888,304039424.0,524288000.0,,,,,,,,,
1,t-20260823121700-5rtng-worker-1,1884470933,2,w1,3.525278616696596,3.525278616696596,1.3786160984039306,0.5120952986180782,0.10422493517398834,0.0,0.0,0.0001982077956199646,1.8550342060625553,0.0,671.129,62822912.0,268435456.0,156.0,156.0,0.0,39.0,8.0,8.0,8.0,0.0,0.0
1,t-20260823121700-5rtng-worker-1,1884470933,2,fw,3.885626880452037,3.885626880452037,1.7064511642456055,0.6387911774218082,0.10405346564948559,0.0,0.0,3.557279706001282e-05,1.8553823605179787,0.0,841.422,84738048.0,272629760.0,256.0,256.0,0.0,8.0,33.0,8.0,8.0,0.0,0.0
1,t-20260823121700-5rtng-worker-1,1884470933,2,lm,3.8855649307370186,3.8855649307370186,1.706582363128662,0.6387348286807537,0.10423319600522518,0.00030521600041538477,0.0,2.563372254371643e-05,1.8547693938016891,0.0,834.308,84738048.0,274726912.0,256.0,156.0,100.0,8.0,8.0,8.0,8.0,0.0,20.0
1,t-20260823121700-5rtng-worker-1,1884470933,2,pc,3.1732815857976675,3.1732815857976675,1.0708249578475952,0.40059782564640045,0.1042180061340332,0.0,0.003024607956409454,3.251805901527405e-05,1.8549792859703302,0.0,654.008,112134144.0,270532608.0,156.0,156.0,0.0,8.0,8.0,8.0,8.0,5.0,0.0
1,t-20260823121700-5rtng-worker-1,1884470933,3,official,45.00626108981669,45.00626108981669,,,,,,,1.8535754512995481,,11033.071,304039424.0,524288000.0,,,,,,,,,
1,t-20260823121700-5rtng-worker-1,1884470933,3,w1,3.525270402431488,3.525270402431488,1.3785997400283814,0.512096056714654,0.10425244085490704,0.0,0.0,0.0001992247998714447,1.85486482642591,0.0,699.698,62822912.0,268435456.0,156.0,156.0,0.0,39.0,8.0,8.0,8.0,0.0,0.0
1,t-20260823121700-5rtng-worker-1,1884470933,3,fw,3.8831745721399784,3.8831745721399784,1.705026439666748,0.6383714117109776,0.10400713048875332,0.0,0.0,3.668852150440216e-05,1.8547782767564058,0.0,861.102,84738048.0,272629760.0,256.0,256.0,0.0,8.0,33.0,8.0,8.0,0.0,0.0
1,t-20260823121700-5rtng-worker-1,1884470933,3,lm,3.884579500183463,3.884579500183463,1.7049638023376466,0.6380813624709845,0.10431525111198425,0.0003055359972640872,0.0,3.5453587770462036e-05,1.8548901695758104,0.0,878.994,84738048.0,274726912.0,256.0,156.0,100.0,8.0,8.0,8.0,8.0,0.0,20.0
1,t-20260823121700-5rtng-worker-1,1884470933,3,pc,3.1721409242600203,3.1721409242600203,1.0699271087646485,0.4002354107797146,0.10414754971861839,0.0,0.003134047985076904,3.473646938800812e-05,1.8548576422035694,0.0,670.648,112134144.0,270532608.0,156.0,156.0,0.0,8.0,8.0,8.0,8.0,5.0,0.0
1,t-20260823121700-5rtng-worker-1,55048408,0,official,44.98924767784774,44.98924767784774,,,,,,,1.8534813020378351,,11049.396,304039424.0,524288000.0,,,,,,,,,
1,t-20260823121700-5rtng-worker-1,55048408,0,w1,3.525839840993285,3.525839840993285,1.3789032678604127,0.5121134594082832,0.10436150431632996,0.0,0.0,0.0002018176019191742,1.8547777980566025,0.0,702.364,62822912.0,268435456.0,156.0,156.0,0.0,39.0,8.0,8.0,8.0,0.0,0.0
